city,hour,total_events,total_revenue,avg_duration
California,2017-01-01 01:00:00,1,0.45,0.0
California,2017-01-01 07:00:00,2,0.75,0.0
California,2017-01-01 09:00:00,3,1.2,0.0
California,2017-01-01 10:00:00,7,3.0,0.0
California,2017-01-01 11:00:00,8,4.35,0.0
California,2017-01-01 12:00:00,6,2.5,0.0
California,2017-01-01 13:00:00,4,1.55,0.0
California,2017-01-01 14:00:00,2,1.2,0.0
California,2017-01-01 15:00:00,5,2.0,0.0
California,2017-01-01 16:00:00,1,0.45,0.0
California,2017-01-01 17:00:00,4,1.1,0.0
California,2017-01-01 18:00:00,7,2.8,0.0
California,2017-01-01 20:00:00,1,0.4,0.0
California,2017-01-01 21:00:00,2,2.6,0.0
California,2017-01-02 00:00:00,1,0.25,0.0
California,2017-01-02 05:00:00,5,13.15,294.35
California,2017-01-02 06:00:00,18,69.28,168.80555555555554
California,2017-01-02 07:00:00,93,336.34,108.55
California,2017-01-02 08:00:00,361,1054.89,98.65323176361957
California,2017-01-02 09:00:00,1580,3467.78,61.31123417721519
California,2017-01-02 10:00:00,1865,3705.4,54.501260053619305
California,2017-01-02 11:00:00,2051,4149.92,55.06740614334471
California,2017-01-02 12:00:00,1961,4307.59,55.70935747067823
California,2017-01-02 13:00:00,975,2204.04,57.131743589743586
California,2017-01-02 15:00:00,1,1.25,33.333333333333336
California,2017-01-03 08:00:00,2,2.5,60.1
California,2017-01-03 09:00:00,2,4.03,67.075
California,2017-01-03 10:00:00,451,788.19,48.13850702143385
California,2017-01-03 11:00:00,1,3.25,86.66666666666667
California,2017-01-04 09:00:00,1,2.25,36.0
California,2017-01-04 17:00:00,1,1.85,49.18333333333333
California,2017-01-05 09:00:00,5,2.7,34.20333333333333
California,2017-01-05 11:00:00,1,0.5,9.233333333333333
California,2017-01-05 14:00:00,1,3.75,59.983333333333334
California,2017-01-05 15:00:00,2,8.25,130.325
California,2017-01-05 16:00:00,15,17.25,42.83888888888889
California,2017-01-05 17:00:00,16,14.55,28.914583333333333
